row_id,severity,reason_code,detector,message,evidence,recommended_action,anomaly_score,country,region,category,time_period,total
1279,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,disbursement_commitment_ratio=94.737; quarter=3.000; log1p_total=2.944,"Review component mix, period changes, and supporting source records.",0.6510356263503688,Guinea-Bissau,WESTERN AND CENTRAL AFRICA,Gross Disbursements,2026-Q3,18.0
1396,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,disbursement_commitment_ratio=14.000; quarter=3.000; log1p_total=2.708,"Review component mix, period changes, and supporting source records.",0.650647237093735,"Congo, Republic of",WESTERN AND CENTRAL AFRICA,Gross Disbursements,2025-Q3,14.0
1379,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=4.407; quarter=3.000; disbursement_commitment_ratio=1.191,"Review component mix, period changes, and supporting source records.",0.6506352128114028,IFC,OTHER,Gross Disbursements,2025-Q3,81.0
2101,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,quarter=4.000; log1p_total=2.398; program_for_results_share=1.000,"Review component mix, period changes, and supporting source records.",0.6494661745039476,Jordan,MIDDLE EAST AND NORTH AFRICA,Gross Disbursements,FY20,10.0
1573,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=133.00; prior_year=20.00; change=565.0%,Confirm whether the shift reflects approved financing activity or a data issue.,0.70625,Kiribati,EAST ASIA AND PACIFIC,Commitments,FY25,133.0
1195,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=371.00; prior_year=59.00; change=528.8%,Confirm whether the shift reflects approved financing activity or a data issue.,0.6610169491525424,Eastern and Southern Africa,EASTERN AND SOUTHERN AFRICA,Gross Disbursements,2026-Q3,371.0
812,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=710.00; prior_year=115.00; change=517.4%,Confirm whether the shift reflects approved financing activity or a data issue.,0.6467391304347826,Cote d'Ivoire,AFRICA,Commitments,FY17,710.0
1564,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=580.00; prior_year=100.00; change=480.0%,Confirm whether the shift reflects approved financing activity or a data issue.,0.6,Mali,WESTERN AND CENTRAL AFRICA,Commitments,FY25,580.0
2384,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=148.00; prior_year=26.00; change=469.2%,Confirm whether the shift reflects approved financing activity or a data issue.,0.5865384615384616,Guinea,AFRICA,Gross Disbursements,FY15,148.0
1947,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=223.00; prior_year=40.00; change=457.5%,Confirm whether the shift reflects approved financing activity or a data issue.,0.571875,South Sudan,EASTERN AND SOUTHERN AFRICA,Commitments,FY21,223.0
1519,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=195.00; prior_year=35.00; change=457.1%,Confirm whether the shift reflects approved financing activity or a data issue.,0.5714285714285714,Guyana,LATIN AMERICA AND CARIBBEAN,Commitments,FY25,195.0
3084,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=135.00; prior_year=25.00; change=440.0%,Confirm whether the shift reflects approved financing activity or a data issue.,0.55,Moldova,EUROPE AND CENTRAL ASIA,Commitments,FY19,135.0
3093,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=148.00; prior_year=28.00; change=428.6%,Confirm whether the shift reflects approved financing activity or a data issue.,0.5357142857142857,Lesotho,AFRICA,Commitments,FY19,148.0
3215,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=184.00; prior_year=35.00; change=425.7%,Confirm whether the shift reflects approved financing activity or a data issue.,0.5321428571428571,Papua New Guinea,EAST ASIA AND PACIFIC,Gross Disbursements,FY19,184.0
1870,medium,YEAR_OVER_YEAR_SHIFT,statistical_process_control,Total changed materially from the comparable prior-year period.,total=299.00; prior_year=57.00; change=424.6%,Confirm whether the shift reflects approved financing activity or a data issue.,0.5307017543859649,"Yemen, Republic of",MIDDLE EAST AND NORTH AFRICA,Gross Disbursements,FY21,299.0
